id_match,match_number,stage,group,home_team,away_team,date_utc,time_utc,local_date,local_time
1415,1,Group Matches,Group 3,SWE,MEX,1958-06-08,12:00,1958-06-08,14:00
1386,3,Group Matches,Group 2,FRA,PAR,1958-06-08,17:00,1958-06-08,19:00
1323,7,Group Matches,Group 1,ARG,FRG,1958-06-08,17:00,1958-06-08,19:00
1372,5,Group Matches,Group 4,URS,ENG,1958-06-08,17:00,1958-06-08,19:00
1407,2,Group Matches,Group 3,HUN,WAL,1958-06-08,17:00,1958-06-08,19:00
1421,8,Group Matches,Group 1,NIR,TCH,1958-06-08,17:00,1958-06-08,19:00
1434,4,Group Matches,Group 2,YUG,SCO,1958-06-08,17:00,1958-06-08,19:00
1326,6,Group Matches,Group 4,BRA,AUT,1958-06-08,17:00,1958-06-08,19:00
1418,9,Group Matches,Group 3,MEX,WAL,1958-06-11,17:00,1958-06-11,19:00
1423,10,Group Matches,Group 2,PAR,SCO,1958-06-11,17:00,1958-06-11,19:00
1324,15,Group Matches,Group 1,ARG,NIR,1958-06-11,17:00,1958-06-11,19:00
1332,13,Group Matches,Group 4,URS,AUT,1958-06-11,17:00,1958-06-11,19:00
1339,12,Group Matches,Group 4,BRA,ENG,1958-06-11,17:00,1958-06-11,19:00
1388,11,Group Matches,Group 2,YUG,FRA,1958-06-11,17:00,1958-06-11,19:00
1391,14,Group Matches,Group 1,FRG,TCH,1958-06-11,17:00,1958-06-11,19:00
1406,16,Group Matches,Group 3,SWE,HUN,1958-06-12,17:00,1958-06-12,19:00
1403,18,Group Matches,Group 3,HUN,MEX,1958-06-15,17:00,1958-06-15,19:00
1327,22,Group Matches,Group 4,ENG,AUT,1958-06-15,17:00,1958-06-15,19:00
1344,21,Group Matches,Group 4,BRA,URS,1958-06-15,17:00,1958-06-15,19:00
1389,23,Group Matches,Group 1,FRG,NIR,1958-06-15,17:00,1958-06-15,19:00
1426,19,Group Matches,Group 2,PAR,YUG,1958-06-15,17:00,1958-06-15,19:00
1325,24,Group Matches,Group 1,TCH,ARG,1958-06-15,17:00,1958-06-15,19:00
1438,17,Group Matches,Group 3,SWE,WAL,1958-06-15,12:00,1958-06-15,14:00
1387,20,Group Matches,Group 2,FRA,SCO,1958-06-15,17:00,1958-06-15,19:00
1408,33,Group Matches,Group 3,WAL,HUN,1958-06-17,17:00,1958-06-17,19:00
1373,37,Group Matches,Group 4,URS,ENG,1958-06-17,17:00,1958-06-17,19:00
1422,39,Group Matches,Group 1,NIR,TCH,1958-06-17,17:00,1958-06-17,19:00
1392,28,Quarter-final,,FRG,YUG,1958-06-19,17:00,1958-06-19,19:00
1437,25,Quarter-final,,SWE,URS,1958-06-19,17:00,1958-06-19,19:00
1345,27,Quarter-final,,BRA,WAL,1958-06-19,17:00,1958-06-19,19:00
1385,26,Quarter-final,,FRA,NIR,1958-06-19,17:00,1958-06-19,19:00
1340,29,Semi-final,,BRA,FRA,1958-06-24,17:00,1958-06-24,19:00
1390,30,Semi-final,,SWE,FRG,1958-06-24,17:00,1958-06-24,19:00
1382,31,Match for third place,,FRA,FRG,1958-06-28,15:00,1958-06-28,17:00
1343,32,Final,,BRA,SWE,1958-06-29,13:00,1958-06-29,15:00
